Prediction,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.900888,-0.134,0.038,0.239,-0.048,-0.2,-0.079,-0.123,0.676,0.16,0.059,0.587,0.501,1.284,0.932,0.378,0.577,1.436,1.359,0.543
0.8780104,-0.034,0.071,0.186,-0.068,-0.208,-0.066,-0.099,0.664,0.261,0.059,0.706,0.482,1.249,0.93,0.372,0.569,1.445,1.354,0.533
0.86199635,-0.014,0.073,0.157,-0.095,-0.238,-0.036,-0.048,0.634,0.406,0.057,0.772,0.475,1.24,0.929,0.368,0.564,1.44,1.341,0.51
0.8537013,-0.014,0.076,0.161,-0.098,-0.239,-0.023,-0.026,0.606,0.492,0.038,0.782,0.471,1.221,0.922,0.353,0.564,1.438,1.315,0.496
0.85002357,-0.028,0.085,0.211,-0.066,-0.237,0.004,0.027,0.617,0.492,0.038,0.784,0.47,1.221,0.914,0.344,0.564,1.447,1.28,0.482
0.8315458,-0.028,0.093,0.22,-0.031,-0.237,0.014,0.058,0.659,0.492,0.038,0.784,0.465,1.221,0.908,0.336,0.565,1.447,1.207,0.458
0.82081115,-0.038,0.126,0.224,0.004,-0.237,0.023,0.083,0.66,0.558,0.038,0.784,0.432,1.201,0.914,0.32,0.567,1.447,1.172,0.448
0.7927287,-0.04,0.114,0.218,0.029,-0.233,-0.002,0.106,0.66,0.569,0.041,0.784,0.411,1.183,0.893,0.314,0.572,1.435,1.114,0.425
0.77054477,-0.02,0.089,0.198,0.006,-0.219,-0.055,0.108,0.648,0.56,0.037,0.785,0.367,1.147,0.833,0.318,0.564,1.429,1.114,0.402
0.75794077,0.009,0.004,0.119,-0.102,-0.228,-0.215,0.12,0.606,0.548,0.033,0.785,0.346,1.118,0.813,0.324,0.544,1.428,1.132,0.371
0.7494941,0.011,-0.062,0.085,-0.159,-0.209,-0.286,0.132,0.433,0.55,0.033,0.785,0.328,1.121,0.8,0.329,0.481,1.417,1.124,0.315
0.70689,-0.024,-0.35,0.076,-0.192,-0.21,-0.303,0.14,0.454,0.55,0.045,0.785,0.31,1.096,0.731,0.329,0.454,1.404,1.089,0.303
0.6886771,-0.068,-0.36,0.088,-0.171,-0.198,-0.238,0.125,0.478,0.55,0.056,0.785,0.308,1.08,0.714,0.327,0.422,1.397,1.046,0.305
0.7032401,-0.112,-0.38,0.081,-0.138,-0.198,-0.229,0.112,0.484,0.543,0.058,0.64,0.305,1.049,0.748,0.339,0.412,1.396,1.042,0.314
0.7190461,-0.13,-0.408,-0.025,-0.074,-0.218,-0.228,0.101,0.47,0.374,0.059,0.528,0.304,1.038,0.789,0.351,0.403,1.384,1.039,0.324
0.73639756,-0.121,-0.41,-0.081,-0.063,-0.223,-0.223,0.095,0.461,0.38,0.077,0.401,0.308,1.035,0.826,0.359,0.398,1.347,1.035,0.351
0.74905014,-0.121,-0.376,-0.098,-0.075,-0.223,-0.211,0.082,0.443,0.38,0.09,0.404,0.331,1.035,0.863,0.357,0.407,1.347,1.035,0.372
0.7611303,-0.118,-0.351,-0.076,-0.126,-0.225,-0.168,0.055,0.426,0.375,0.092,0.401,0.341,1.042,0.872,0.352,0.428,1.343,1.03,0.403
0.7684226,-0.126,-0.34,-0.045,-0.136,-0.225,-0.138,0.05,0.438,0.336,0.092,0.421,0.346,1.063,0.901,0.351,0.431,1.34,1.025,0.412
0.76666826,-0.165,-0.335,-0.002,-0.123,-0.2,-0.097,0.024,0.44,0.336,0.136,0.428,0.346,1.057,0.91,0.351,0.432,1.343,1.02,0.423
0.7628734,-0.184,-0.344,0.005,-0.111,-0.215,-0.09,-0.006,0.44,0.323,0.259,0.43,0.347,1.045,0.921,0.35,0.438,1.35,1.028,0.454
0.7558919,-0.278,-0.334,0.005,-0.098,-0.256,-0.097,-0.047,0.442,0.332,0.274,0.43,0.344,1.001,0.957,0.346,0.443,1.361,1.049,0.466
0.7566135,-0.279,-0.292,-0.001,-0.072,-0.318,-0.135,-0.116,0.452,0.34,0.261,0.442,0.333,0.985,0.973,0.345,0.443,1.365,1.097,0.466
0.7568177,-0.254,-0.283,-0.008,-0.059,-0.339,-0.14,-0.124,0.465,0.372,0.201,0.455,0.301,0.958,1.005,0.35,0.437,1.361,1.105,0.455
0.75845647,-0.238,-0.248,-0.007,-0.058,-0.344,-0.132,-0.109,0.472,0.401,0.169,0.457,0.297,0.937,1.009,0.354,0.431,1.363,1.111,0.445
